SIGN;OPTION;LOW;HIGH
I;EQ;1000;
I;EQ;0001;
I;EQ;0003;
I;EQ;0MB1;
I;EQ;2000;
I;EQ;2010;
I;EQ;2020;
I;EQ;2030;
I;EQ;2040;
I;EQ;2060;
I;EQ;2070;
I;EQ;2080;
I;EQ;2090;
I;EQ;2100;
I;EQ;2110;
I;EQ;2120;
I;EQ;2130;
I;EQ;2140;
I;EQ;2150;
I;EQ;2160;
I;EQ;2170;
I;EQ;2180;
I;EQ;2190;
I;EQ;2200;
I;EQ;2210;
I;EQ;2220;
I;EQ;2230;
I;EQ;2231;
I;EQ;2240;
I;EQ;2250;
I;EQ;2260;
I;EQ;AE01;
I;EQ;AR01;
I;EQ;AT01;
I;EQ;AU01;
I;EQ;BE01;
I;EQ;BR01;
I;EQ;CA01;
I;EQ;CH01;
I;EQ;CL01;
I;EQ;CN01;
I;EQ;CO01;
I;EQ;CZ01;
I;EQ;DE01;
I;EQ;DE02;
I;EQ;DK01;
I;EQ;EG01;
I;EQ;2270;
I;EQ;2280;
I;EQ;2290;
I;EQ;2300;
I;EQ;2310;
I;EQ;2320;
I;EQ;2330;
I;EQ;2340;
I;EQ;2350;
I;EQ;2360;
I;EQ;2370;
I;EQ;2380;
I;EQ;2390;
I;EQ;2400;
I;EQ;2410;
I;EQ;2420;
I;EQ;2430;
I;EQ;2440;
I;EQ;2450;
I;EQ;2460;
I;EQ;2470;
I;EQ;2480;
I;EQ;2490;
I;EQ;2500;
I;EQ;2510;
I;EQ;2520;
I;EQ;2530;
I;EQ;2540;
I;EQ;2550;
I;EQ;2560;
I;EQ;2570;
I;EQ;2580;
