YEAR;HALFYEAR;QUARTER;MONTH;CALQUARTER;CALMONTH;YEAR_INT;HALFYEAR_INT;QUARTER_INT;MONTH_INT
0000;00;00;00;00000;000000;0;0;0;0
2010;01;01;01;20101;201001;2010;1;1;1
2010;01;01;02;20101;201002;2010;1;1;2
2010;01;01;03;20101;201003;2010;1;1;3
2010;01;02;04;20102;201004;2010;1;2;4
2010;01;02;05;20102;201005;2010;1;2;5
2010;01;02;06;20102;201006;2010;1;2;6
2010;02;03;07;20103;201007;2010;2;3;7
2010;02;03;08;20103;201008;2010;2;3;8
2010;02;03;09;20103;201009;2010;2;3;9
2010;02;04;10;20104;201010;2010;2;4;10
2010;02;04;11;20104;201011;2010;2;4;11
2010;02;04;12;20104;201012;2010;2;4;12
2011;01;01;01;20111;201101;2011;1;1;1
2011;01;01;02;20111;201102;2011;1;1;2
2011;01;01;03;20111;201103;2011;1;1;3
2011;01;02;04;20112;201104;2011;1;2;4
2011;01;02;05;20112;201105;2011;1;2;5
2011;01;02;06;20112;201106;2011;1;2;6
2011;02;03;07;20113;201107;2011;2;3;7
2011;02;03;08;20113;201108;2011;2;3;8
2011;02;03;09;20113;201109;2011;2;3;9
2011;02;04;10;20114;201110;2011;2;4;10
2011;02;04;11;20114;201111;2011;2;4;11
2011;02;04;12;20114;201112;2011;2;4;12
2012;01;01;01;20121;201201;2012;1;1;1
2012;01;01;02;20121;201202;2012;1;1;2
2012;01;01;03;20121;201203;2012;1;1;3
2012;01;02;04;20122;201204;2012;1;2;4
2012;01;02;05;20122;201205;2012;1;2;5
2012;01;02;06;20122;201206;2012;1;2;6
2012;02;03;07;20123;201207;2012;2;3;7
2012;02;03;08;20123;201208;2012;2;3;8
2012;02;03;09;20123;201209;2012;2;3;9
2012;02;04;10;20124;201210;2012;2;4;10
2012;02;04;11;20124;201211;2012;2;4;11
2012;02;04;12;20124;201212;2012;2;4;12
2013;01;01;01;20131;201301;2013;1;1;1
2013;01;01;02;20131;201302;2013;1;1;2
2013;01;01;03;20131;201303;2013;1;1;3
2013;01;02;04;20132;201304;2013;1;2;4
2013;01;02;05;20132;201305;2013;1;2;5
2013;01;02;06;20132;201306;2013;1;2;6
2013;02;03;07;20133;201307;2013;2;3;7
2013;02;03;08;20133;201308;2013;2;3;8
2013;02;03;09;20133;201309;2013;2;3;9
2013;02;04;10;20134;201310;2013;2;4;10
2013;02;04;11;20134;201311;2013;2;4;11
2013;02;04;12;20134;201312;2013;2;4;12
2014;01;01;01;20141;201401;2014;1;1;1
2014;01;01;02;20141;201402;2014;1;1;2
2014;01;01;03;20141;201403;2014;1;1;3
2014;01;02;04;20142;201404;2014;1;2;4
2014;01;02;05;20142;201405;2014;1;2;5
2014;01;02;06;20142;201406;2014;1;2;6
2014;02;03;07;20143;201407;2014;2;3;7
2014;02;03;08;20143;201408;2014;2;3;8
